??	????	??	????ator	???Epoch?	????????	????????	B* ???	Ephemeris ??	????	???	??	????	?? i?°?	????? ??°?	??? e	????? ??°?	???? M?°?	???? n?rev/day?	?????
1 66144U 25239A   25297.52786545 -.00000170  00000-0  55381-3 0  9993											2 66144  26.7778 246.6577 8217377 178.7247 187.6797  1.16854831    22								
1 66143U 25238B   25296.98079824  .00010977  14946-5  69586-3 0  9991											2 66143  16.4331 273.2361 7596403 164.2686 249.4416  1.92710720    22								
1 66142U 25238A   25297.02128061  .00007775  15255-5  89266-3 0  9997											2 66142  16.4249 273.2021 7763057 165.3209 248.2978  1.72601617    28								
1 66057U 25234E   25293.17857359 -.00000072  00000-0  00000+0 0  9995											2 66057  97.5180 358.8704 0019153 274.5220  85.3827 15.20597807   166								
1 66056U 25234D   25297.78281791  .00021546  00000-0  96310-3 0  9997											2 66056  97.4554   3.4023 0014217 260.9324  99.0303 15.21252373   850								
1 66055U 25234C   25297.71696266  .00007029  00000-0  31754-3 0  9997											2 66055  97.4576   3.3385 0014209 263.3908  96.5710 15.21185618   850								
1 66054U 25234B   25296.59837934  .00009095  00000-0  40867-3 0  9990											2 66054  97.5057   2.2525 0014619 268.7380  91.2181 15.21282678   685								
1 66053U 25234A   25297.78150132  .00031418  00000-0  13842-2 0  9995											2 66053  97.4628   3.4083 0014158 267.4681  92.4934 15.21669434   865								
1 66032U 25232AD  25297.83336806 -.01591212  00000-0 -57222-2 0  9996											2 66032  53.1548  20.6296 0001096  48.5319  37.2766 15.90563060  1698								
1 66031U 25232AC  25297.83336806 -.01602491  00000-0 -57809-2 0  9998											2 66031  53.1551  20.6347 0000842  75.7822   7.6231 15.90524410  1691								
